Khowar,English
ہیسہیسَ دُوروَابادَاریر۔,He got the house settled and functioning
اپاَکَ,mouth
ڈقو اپاک ݯ ھَ مَوران,The boy's mouth is hurting.
َََ ایَ اپاک لو دیَ نوَپرائی,He didn't even say a single sentence.
َََ تہَ اپاکَزوالو۔,Idiom. Your mouth is sweet. (i.e. you say good
مہ پیٹیک ا تر وݯیَ شیر۔,My doputtah (scarf) is torn.
َََ ہیسَ رغیشٹیَ دوری ا تیتائی۔َ,S/he went into the house early
َََ دکائیَ ݯھوغ ا تیتائی۔َ,A thief entered/broke into the shop.
ا چو غن,liquid
ا چو غنَ شَیاقَََکورے۔,Make thin mud (i.e. too liquid to carry in a
ا چوغنیوَ متےدیت،َݱاقیو ت و پیرَ۔َ,Give me the (thin) liquid part; you drink
سونوغرا ا څ بو شیٹی۔,There are many springs in Sonoghor.
ادراخ,hillside
پایان گٹی ادراختو بیمانَ ۔,I am taking the goats to the
ادیناَ دوݰَاوشوئی۔,Friday was yesterday.
ارقا,upper back
َََ مہ ارقاَ ݯ ھموران۔,My back is hurting.
َََ ارقا کوچھاَوَے۔َ,
اڑوک شخ نوَکوسانا؟,Aren't you going to make pumpkin curry?
َ اڑیو خون اڑیوَََگیردانہ۔,Proverb. The murder of a duck is its own fault.
ہائی۔َہیہَساَلَڑیَنوَہائی۔َ,This year the ducks haven't come.
اژیلیَاژیکو بومیرایک کویس۔,On the birth of a baby we congratulate (each
َََ تہ ژاؤ اݱغالداریَاریرا؟,Has your son gotten married?
َ جم اݱغالَ موشو زندگی۔َ,A good wife is a man's life.
ڈقوَ سَو ا سیرو ن سائی۔َََ , Chicken pox came out on the boy. (The boy has smallpox.)
ا سپسارَ دَََوَریَََاسورا؟,Is (my) younger sister at home? 
ا سَ پَوَساَرَ, sister
?ا س پسارَ دَََوَریَََاسورا,Is (my) younger sister at home?
 ا سپہ ,our
َ ا سپہَژغہ بو ا ݰاک۔,Our place/region is very cold.
َ ا سپہَََگوسیان۔,We are coming.
ا ستادَدار تچھیرانَ,The carpenter is smoothing/fitting the wood
سیےَیَ,female 
پائی ا سیےیسیےیَچھائیَََاریر۔,The goat gave birth to a female
ا ستورَ ہلیئک گران بیٹےَ شیر۔,It has become expensive to keep a horse.
ہیہ بوہتو اسنیئکو بوسا؟, The cat grabbed hold of the lungs
 پ ویسی اسقاری ݯوگَ بوہتَہوئی۔, Can you lift this rock?
شپاش ور گیٹے بغائیَ, His/her/my father -in-law came and then left
اسقان,easy
ا شیریشیَوَئے, mother in law
ا شتوخیک,to sneeze 
 ا شٹ وریک, to run away
ݯھوغ پو لوسوَموڑار ا شٹورتائی۔,The thief escaped from the police.
ڈق ا شٹوکشٹوکَکونیان۔,The boys are playing/dancing.
 اش رَو,tears
اشی وانَغوݯار کوریَمہ نسہَہائی۔,Weeping a waterfall of tears s/he came to me.
 ا شالَکَ ,unfermented
نوَہوئی۔,The bread turned out to be unleavened
شلوَکَ,piece of wood
تروئی ا شلوکانَسورا چائی لوچھیتائی۔,Tea was made (lit. boiled) with (only) three
ا ش لوکَ , dried up
لیَشَوؤَدیٹیََََ ا شَ لوک کاَََر دُو۔,The calf (unobserved) sucked the cow
جم ا شلیکَدارو گناسَانگتر۔,Bring a nice smooth piece of wood.
کیہ ا شناریَمتَدوسانا؟,Do you want to give me something?
